Line,Mag,x,y
L10160,56609.8507535088,582920.9,6862816
L10160,56686.6312363191,582920.4,6862850.5
L10160,56748.3917334345,582920.6,6862885.5
L10160,56793.100499631,582920.9,6862920.5
L10160,56822.6492515224,582921.1,6862955
L10160,56837.5980034138,582921.4,6862989.5
L10160,56839.3567553052,582921.6,6863023.5
L10160,56829.5955071966,582921.8,6863057.5
L10160,56808.4642733931,582922.1,6863092
L10160,56777.6505648047,582922.3,6863126.5
L10160,56741.6568419113,582922.6,6863161
L10160,56706.0831333229,582922.8,6863195
L10160,56677.9694247346,582923.1,6863229.5
L10160,56666.1657161463,582923.3,6863264
L10160,56677.3120075579,582923.5,6863298.5
L10160,56707.3352519802,582923.8,6863333.5
L10160,56746.0184964024,582924,6863368
L10160,56784.2717408246,582924.2,6863402
L10160,56809.4849995519,582924.5,6863436.5
L10160,56816.4282439742,582924,6863471
L10160,56808.9814883964,582924.2,6863505.5
L10160,56789.1112566757,582925.2,6863539.5
L10160,56758.1810249551,582925.4,6863573.5
L10160,56716.5707932344,582925.7,6863607.5
L10160,56667.2505615137,582925.9,6863642
L10160,56621.4303297931,582926.2,6863677
L10160,56590.6500837673,582925.7,6863711.5
L10160,56580.9860898015,582925.2,6863746
L10160,56588.8620815305,582924.7,6863780
L10160,56607.0480732595,582924.2,6863814.5
L10160,56632.3540792937,582923.7,6863849.5
L10160,56662.4000710228,582923.2,6863884
L10160,56694.9560627518,582923.4,6863918.5
L10160,56728.0881920999,582922.9,6863953
L10160,56757.6103071428,582922.4,6863988
L10160,56779.4724364909,582921.9,6864023.5
L10160,56790.5445658389,582922.1,6864058.5
L10160,56790.4466808819,582921.6,6864093
L10160,56782.1888102299,582921.9,6864127
L10160,56771.8172345533,582921.4,6864161
L10160,56764.9556731818,582920.9,6864196
L10160,56765.1040975051,582920.4,6864231
L10160,56771.4725361336,582919.9,6864265.5
L10160,56780.070974762,582919.4,6864300
L10160,56787.8893990854,582918.8,6864334.5
L10160,56793.6445189272,582917.6,6864369.5
L10160,56797.4296530742,582917.1,6864404.5
L10160,56800.354772916,582915.8,6864439.5
L10160,56803.2298927578,582915.3,6864474.5
L10160,56806.5150125997,582914.8,6864509
L10160,56809.4501467466,582914.3,6864543.5
L10160,56811.0824913962,582913.8,6864578
L10160,56810.1048503509,582914.1,6864612.5
L10160,56805.4772093056,582914.3,6864647.5
L10160,56797.2195539552,582914.6,6864682
L10160,56786.8619129099,582914.8,6864716
L10160,56775.7942718645,582915.8,6864750.5
L10160,56765.0145136623,582916.8,6864785
L10160,56754.85475546,582917,6864820
L10160,56745.5249972577,582918,6864855
L10160,56737.6252390554,582918.2,6864889.5
L10160,56732.2154808531,582918.5,6864923.5
L10160,56729.9357226508,582918.8,6864958
L10160,56730.7444767166,582919.8,6864992
L10160,56733.8432450875,582919.9,6865026.5
L10160,56738.5519991532,582920.2,6865061
L10160,56745.2407675241,582920.4,6865095.5
L10160,56754.4395215899,582920.7,6865129.5
L10160,56766.4382899608,582920.9,6865164
L10160,56780.5860712788,582921.2,6865198.5
L10160,56796.1638669019,582921.4,6865232
L10160,56812.561662525,582921.6,6865266
L10160,56828.619458148,582921.9,6865300.5
L10160,56843.387239466,582922.1,6865334.5
L10160,56856.2550350891,582922.4,6865369
L10160,56867.2222871178,582922.6,6865403.5
L10160,56875.7395248414,582922.9,6865437.5
L10160,56880.5467625651,582923.1,6865472
L10160,56881.8540002887,582923.3,6865506.5
L10160,56879.9612523174,582923.6,6865540.5
L10160,56874.448490041,582923.8,6865574.5
L10160,56864.775527493,582924.1,6865608.5
L10160,56851.1425506399,582924.3,6865642.5
L10160,56834.8895880919,582923.8,6865677
L10160,56817.3366255439,582924,6865711.5
L10160,56799.3436486908,582923.5,6865745.5
L10160,56781.4606861428,582923.8,6865779.5
L10160,56764.1877951204,582924,6865813.5
L10160,56747.4249184031,582924.2,6865848
L10160,56731.9020273807,582924.5,6865883
L10160,56718.2291363583,582923.9,6865916.5
L10160,56707.566259641,582922.7,6865950
L10160,56699.8933686185,582922.2,6865984
L10160,56693.3108495291,582921.7,6866018.5
L10160,56685.2983304397,582921.2,6866052.5
L10160,56673.2458113502,582919.9,6866087
L10160,56653.0432922608,582918.7,6866121.5
L10160,56625.3607731714,582917.4,6866155.5
L10160,56610.1682540819,582916.2,6866190
L10160,56656.7563644175,582914.9,6866224
L10160,56788.7644747532,582913.6,6866258
L10160,56944.7225850888,582912.4,6866292
L10160,57055.3506954244,582911.1,6866326.5
L10160,57108.27880576,582909.9,6866360.5
L10160,57122.5569017905,582909.4,6866395
L10160,57116.5058990432,582908.9,6866429
L10160,57100.8748819908,582908.4,6866463.5
L10160,57081.1938792435,582907.9,6866498
L10160,57059.3628764963,582908.1,6866532.5
L10160,57038.1318594439,582907.6,6866566.5
L10160,57020.5708566966,582907.8,6866601
L10160,57008.0410698841,582908.1,6866635.5
L10160,57000.3112830716,582908.3,6866669.5
L10160,56997.1614962591,582909.3,6866703
L10160,56997.9617094465,582910.2,6866737.5
L10160,56999.231922634,582911.2,6866771.5
L10160,56998.3521358215,582912.2,6866805.5
L10160,56996.8039225716,582913.2,6866839.5
L10160,56994.1857236268,582914.2,6866873
L10160,56988.8275103769,582915.2,6866907
L10160,56979.369297127,582915.4,6866941
L10160,56964.1110838771,582916.4,6866975.5
L10160,56944.2128706272,582916.7,6867009.5
L10160,56924.6765742627,582917.7,6867043
L10160,56908.5702922033,582918.6,6867077.5
L10160,56897.4139958388,582920.4,6867112.5
L10160,56891.3777137794,582920.6,6867147
L10160,56889.0214174149,582921.6,6867181.5
L10160,56888.8051353554,582921.9,6867215.5
L10160,56889.7911421144,582922.9,6867249
L10160,56890.7471488733,582923.8,6867283.5
L10160,56890.6931556323,582924.8,6867318
L10160,56889.4491623913,582925.1,6867352
L10160,56887.3251691502,582926.1,6867386.5
L10160,56885.4011759092,582926.3,6867421
L10160,56885.0497575888,582926.6,6867456
L10160,56887.2483249633,582926.8,6867489.5
L10160,56891.4569066429,582926.2,6867523
L10160,56894.6754883225,582925.8,6867556.5
L10160,56895.3740700021,582925.2,6867590.5
L10160,56894.9326516817,582925.5,6867624
L10160,56893.0939084177,582924.9,6867658
L10160,56887.0451794589,582925.2,6867691.5
L10160,56875.5864505001,582924.7,6867725.5
L10160,56861.3177215413,582924.2,6867759.5
L10160,56848.4089782773,582923.7,6867793
L10160,56839.2102493185,582923.9,6867827
L10160,56833.6242240264,582923.4,6867861
L10160,56830.6082130394,582923.6,6867894.5
L10160,56829.2421877472,582923.1,6867928
L10160,56828.8761624551,582921.9,6867962
L10160,56829.0101514681,582920.6,6867996
L10160,56829.244126176,582919.4,6868029.5
L10160,56829.4308331607,582918.1,6868063.5
L10160,56829.7175258404,582917.6,6868097.5
L10160,56830.4242328252,582916.3,6868131
L10160,56832.0509255049,582915.8,6868165
L10160,56835.1476324896,582915.3,6868198.5
L10160,56839.1943251693,582914.8,6868232.5
L10160,56842.3136499901,582913.5,6868266.5
L10160,56843.0729605058,582913,6868301
L10160,56842.3122710214,582911.8,6868336
L10160,56842.3315958422,582912,6868370
L10160,56844.5709063579,582911.5,6868404
L10160,56847.6802168735,582911.8,6868437.5
L10160,56850.5918591229,582911.2,6868471
L10160,56852.9334870672,582911.4,6868505.5
L10160,56853.7251150114,582910.9,6868540
L10160,56852.2567572608,582910.4,6868574
L10160,56849.528385205,582909.9,6868607.5
L10160,56846.9700131493,582910.2,6868641.5
L10160,56845.5736008943,582910.4,6868675
L10160,56845.1371743341,582910.6,6868709.5
L10160,56844.8207620791,582910.9,6868743.5
L10160,56844.5143498241,582911.1,6868777.5
L10160,56844.8479232639,582911.4,6868811.5
L10160,56846.2715110089,582912.4,6868845.5
L10160,56848.4268439779,582913.3,6868880
L10160,56849.8321769469,582913.6,6868913.5
L10160,56849.547524221,582913.8,6868947
L10160,56847.4128571899,582914.1,6868981
L10160,56843.3381901589,582914.3,6869015.5
L10160,56837.6535231279,582915.2,6869049
L10160,56831.3905727106,582916.2,6869083
L10160,56825.3876222934,582917.2,6869117.5
L10160,56820.1446718761,582919,6869152.5
L10160,56815.5617214588,582919.2,6869186
L10160,56812.1587710416,582920.2,6869219
L10160,56810.4458349295,582920.4,6869253
L10160,56809.774601126,582921.4,6869287.5
